departure_dt,arrival_dt,duration_min,n_changes,dep_platform,dep_station,arr_station,dep_delay_s,arr_delay_s,query_date
2026-05-27 06:56:00,2026-05-27 07:46:00,50.0,0,8,Gent-Sint-Pieters,Mechelen,0,0,2026-05-27
2026-05-27 07:01:00,2026-05-27 08:02:00,61.0,1,10,Gent-Sint-Pieters,Mechelen,0,0,2026-05-27
2026-05-27 07:20:00,2026-05-27 08:26:00,66.0,1,9,Gent-Sint-Pieters,Mechelen,0,0,2026-05-27
2026-05-27 07:21:00,2026-05-27 08:27:00,66.0,0,5,Gent-Sint-Pieters,Mechelen,0,0,2026-05-27
2026-05-27 07:27:00,2026-05-27 08:37:00,70.0,1,5,Gent-Sint-Pieters,Mechelen,0,0,2026-05-27
2026-05-27 07:58:00,2026-05-27 08:46:00,48.0,0,5,Gent-Sint-Pieters,Mechelen,0,0,2026-05-27
2026-05-28 06:56:00,2026-05-28 07:46:00,50.0,0,8,Gent-Sint-Pieters,Mechelen,0,0,2026-05-28
2026-05-28 07:01:00,2026-05-28 08:02:00,61.0,1,10,Gent-Sint-Pieters,Mechelen,0,0,2026-05-28
2026-05-28 07:20:00,2026-05-28 08:26:00,66.0,1,9,Gent-Sint-Pieters,Mechelen,0,0,2026-05-28
2026-05-28 07:21:00,2026-05-28 08:27:00,66.0,0,5,Gent-Sint-Pieters,Mechelen,0,0,2026-05-28
2026-05-28 07:27:00,2026-05-28 08:37:00,70.0,1,5,Gent-Sint-Pieters,Mechelen,0,0,2026-05-28
2026-05-28 07:58:00,2026-05-28 08:46:00,48.0,0,5,Gent-Sint-Pieters,Mechelen,0,0,2026-05-28
2026-05-29 06:56:00,2026-05-29 07:46:00,50.0,0,8,Gent-Sint-Pieters,Mechelen,0,0,2026-05-29
2026-05-29 07:01:00,2026-05-29 08:02:00,61.0,1,10,Gent-Sint-Pieters,Mechelen,0,0,2026-05-29
2026-05-29 07:20:00,2026-05-29 08:26:00,66.0,1,9,Gent-Sint-Pieters,Mechelen,0,0,2026-05-29
2026-05-29 07:21:00,2026-05-29 08:27:00,66.0,0,5,Gent-Sint-Pieters,Mechelen,0,0,2026-05-29
2026-05-29 07:27:00,2026-05-29 08:37:00,70.0,1,5,Gent-Sint-Pieters,Mechelen,0,0,2026-05-29
2026-05-29 07:58:00,2026-05-29 08:46:00,48.0,0,5,Gent-Sint-Pieters,Mechelen,0,0,2026-05-29
2026-06-01 06:56:00,2026-06-01 07:46:00,50.0,0,8,Gent-Sint-Pieters,Mechelen,0,0,2026-06-01
2026-06-01 07:01:00,2026-06-01 08:02:00,61.0,1,10,Gent-Sint-Pieters,Mechelen,0,0,2026-06-01
2026-06-01 07:20:00,2026-06-01 08:26:00,66.0,1,9,Gent-Sint-Pieters,Mechelen,0,0,2026-06-01
2026-06-01 07:21:00,2026-06-01 08:27:00,66.0,0,5,Gent-Sint-Pieters,Mechelen,0,0,2026-06-01
2026-06-01 07:27:00,2026-06-01 08:37:00,70.0,1,5,Gent-Sint-Pieters,Mechelen,0,0,2026-06-01
2026-06-01 07:58:00,2026-06-01 08:46:00,48.0,0,5,Gent-Sint-Pieters,Mechelen,0,0,2026-06-01
2026-06-02 06:56:00,2026-06-02 07:46:00,50.0,0,8,Gent-Sint-Pieters,Mechelen,0,0,2026-06-02
2026-06-02 07:01:00,2026-06-02 08:02:00,61.0,1,10,Gent-Sint-Pieters,Mechelen,0,0,2026-06-02
2026-06-02 07:20:00,2026-06-02 08:26:00,66.0,1,9,Gent-Sint-Pieters,Mechelen,0,0,2026-06-02
2026-06-02 07:21:00,2026-06-02 08:27:00,66.0,0,5,Gent-Sint-Pieters,Mechelen,0,0,2026-06-02
2026-06-02 07:27:00,2026-06-02 08:37:00,70.0,1,5,Gent-Sint-Pieters,Mechelen,0,0,2026-06-02
2026-06-02 07:58:00,2026-06-02 08:46:00,48.0,0,5,Gent-Sint-Pieters,Mechelen,0,0,2026-06-02
2026-06-03 06:56:00,2026-06-03 07:46:00,50.0,0,8,Gent-Sint-Pieters,Mechelen,0,0,2026-06-03
2026-06-03 07:01:00,2026-06-03 08:02:00,61.0,1,10,Gent-Sint-Pieters,Mechelen,0,0,2026-06-03
2026-06-03 07:20:00,2026-06-03 08:26:00,66.0,1,9,Gent-Sint-Pieters,Mechelen,0,0,2026-06-03
2026-06-03 07:21:00,2026-06-03 08:27:00,66.0,0,5,Gent-Sint-Pieters,Mechelen,0,0,2026-06-03
2026-06-03 07:27:00,2026-06-03 08:37:00,70.0,1,5,Gent-Sint-Pieters,Mechelen,0,0,2026-06-03
2026-06-03 07:58:00,2026-06-03 08:46:00,48.0,0,5,Gent-Sint-Pieters,Mechelen,0,0,2026-06-03
2026-06-04 06:56:00,2026-06-04 07:46:00,50.0,0,8,Gent-Sint-Pieters,Mechelen,0,0,2026-06-04
2026-06-04 07:01:00,2026-06-04 08:02:00,61.0,1,10,Gent-Sint-Pieters,Mechelen,0,0,2026-06-04
2026-06-04 07:20:00,2026-06-04 08:26:00,66.0,1,9,Gent-Sint-Pieters,Mechelen,0,0,2026-06-04
2026-06-04 07:21:00,2026-06-04 08:27:00,66.0,0,5,Gent-Sint-Pieters,Mechelen,0,0,2026-06-04
2026-06-04 07:27:00,2026-06-04 08:37:00,70.0,1,5,Gent-Sint-Pieters,Mechelen,0,0,2026-06-04
2026-06-04 07:58:00,2026-06-04 08:46:00,48.0,0,5,Gent-Sint-Pieters,Mechelen,0,0,2026-06-04
2026-06-05 06:56:00,2026-06-05 07:46:00,50.0,0,8,Gent-Sint-Pieters,Mechelen,0,0,2026-06-05
2026-06-05 07:01:00,2026-06-05 08:02:00,61.0,1,10,Gent-Sint-Pieters,Mechelen,0,0,2026-06-05
2026-06-05 07:20:00,2026-06-05 08:26:00,66.0,1,9,Gent-Sint-Pieters,Mechelen,0,0,2026-06-05
2026-06-05 07:21:00,2026-06-05 08:27:00,66.0,0,5,Gent-Sint-Pieters,Mechelen,0,0,2026-06-05
2026-06-05 07:27:00,2026-06-05 08:37:00,70.0,1,5,Gent-Sint-Pieters,Mechelen,0,0,2026-06-05
2026-06-05 07:58:00,2026-06-05 08:46:00,48.0,0,5,Gent-Sint-Pieters,Mechelen,0,0,2026-06-05
2026-06-08 06:56:00,2026-06-08 07:46:00,50.0,0,8,Gent-Sint-Pieters,Mechelen,60,0,2026-06-08
2026-06-08 07:01:00,2026-06-08 08:02:00,61.0,1,10,Gent-Sint-Pieters,Mechelen,60,1080,2026-06-08
2026-06-08 07:20:00,2026-06-08 08:26:00,66.0,1,9,Gent-Sint-Pieters,Mechelen,0,600,2026-06-08
2026-06-08 07:21:00,2026-06-08 08:27:00,66.0,0,11,Gent-Sint-Pieters,Mechelen,120,240,2026-06-08
2026-06-08 07:27:00,2026-06-08 08:37:00,70.0,1,5,Gent-Sint-Pieters,Mechelen,120,60,2026-06-08
2026-06-08 07:58:00,2026-06-08 08:46:00,48.0,0,5,Gent-Sint-Pieters,Mechelen,60,0,2026-06-08
2026-06-09 06:56:00,2026-06-09 07:46:00,50.0,0,8,Gent-Sint-Pieters,Mechelen,0,-60,2026-06-09
2026-06-09 07:01:00,2026-06-09 08:02:00,61.0,1,10,Gent-Sint-Pieters,Mechelen,60,360,2026-06-09
2026-06-09 07:20:00,2026-06-09 08:26:00,66.0,1,9,Gent-Sint-Pieters,Mechelen,0,180,2026-06-09
2026-06-09 07:21:00,2026-06-09 08:27:00,66.0,0,5,Gent-Sint-Pieters,Mechelen,0,60,2026-06-09
2026-06-09 07:27:00,2026-06-09 08:37:00,70.0,1,5,Gent-Sint-Pieters,Mechelen,0,180,2026-06-09
2026-06-09 07:58:00,2026-06-09 08:46:00,48.0,0,4,Gent-Sint-Pieters,Mechelen,60,0,2026-06-09
